ID,Healthy_count
K00186,1.05E-05
K00187,3.16E-05
K00184,2.85E-05
K00185,1.23E-05
K01369,7.10E-06
K00183,2.60E-05
K00180,4.60E-04
K01364,1.51E-05
K01361,9.01E-07
K01362,8.69E-04
K10110,1.86E-04
K10111,1.93E-06
K10112,3.71E-04
K10117,6.79E-05
K10118,6.76E-05
K10119,7.83E-05
K11909,1.40E-05
K05844,2.30E-05
K05845,6.74E-05
K05846,9.14E-05
K05847,9.35E-05
K04083,3.12E-04
K04082,1.47E-05
K04081,5.00E-06
K04080,5.65E-06
K04087,5.06E-05
K04086,1.60E-05
K04085,5.04E-05
K04084,2.63E-05
K04088,3.62E-05
K12521,8.80E-06
K00989,1.09E-04
K00986,8.38E-04
K01103,2.26E-06
K00985,3.24E-04
K00982,2.87E-05
K01104,1.19E-03
K00980,7.53E-05
K00981,6.09E-04
K05592,4.52E-04
K05593,2.24E-05
K05590,1.49E-05
K05591,1.17E-04
K05596,2.44E-06
K05597,8.26E-06
K05594,7.52E-06
K05595,7.33E-04
K06012,1.19E-04
K01297,2.09E-04
K05601,1.48E-05
K02926,8.65E-04
K05607,7.22E-05
K14541,4.15E-07
K14540,2.38E-04
K00216,5.77E-06
K00215,7.23E-04
K12529,2.99E-06
K00210,2.52E-04
K11904,7.87E-06
K13607,6.58E-06
K01062,1.45E-05
K01560,8.98E-05
K01567,2.25E-04
K00218,7.65E-06
K00219,7.86E-05
K01035,5.17E-05
K01034,9.62E-05
K01741,3.64E-05
K01740,1.01E-03
K01746,6.31E-05
K01745,3.62E-04
K01744,3.19E-04
K02030,9.49E-04
K02031,7.94E-04
K02032,7.22E-04
K02033,7.22E-04
K01039,9.17E-05
K02035,6.61E-04
K02036,5.97E-04
K02037,4.15E-04
K01585,2.48E-04
K01584,1.21E-05
K05020,1.53E-05
K01586,6.22E-04
K01581,7.26E-05
K01580,2.80E-04
K01583,2.65E-06
K01582,2.08E-04
K13497,1.74E-05
K01589,7.72E-05
K01588,8.54E-04
K05556,3.00E-06
K14430,8.28E-06
K13652,1.93E-04
K13653,8.94E-05
K13650,5.74E-06
K08344,1.14E-06
K08346,1.51E-06
K08347,3.43E-06
K08348,1.63E-05
K08349,2.44E-06
K14127,3.53E-05
K02456,1.01E-05
K05337,3.72E-05
K02454,7.14E-05
K02455,1.73E-05
K02100,7.08E-06
K02453,4.96E-05
K02450,1.58E-06
K02103,5.45E-05
K03455,3.08E-04
K03457,3.62E-05
K02108,6.85E-04
K02109,7.72E-04
K03453,5.05E-04
K03980,4.66E-05
K02193,2.39E-05
K02362,2.88E-06
K01639,3.97E-04
K01638,1.67E-05
K01637,3.49E-06
K01636,2.49E-05
K01633,7.24E-04
K01632,1.81E-05
K01631,6.62E-06
K01630,1.88E-05
K03855,8.91E-05
K08485,8.60E-06
K03856,2.47E-04
K00264,9.23E-06
K03521,7.73E-04
K13019,7.54E-06
K03523,3.81E-04
K03522,9.38E-04
K03525,6.78E-04
K03524,5.42E-04
K03527,6.86E-04
K03526,5.05E-04
K03529,1.75E-04
K02853,9.85E-06
K13012,1.81E-04
K02851,3.90E-05
K02856,2.04E-04
K02585,2.44E-05
K13016,2.99E-05
K13017,4.92E-05
K09857,4.14E-06
K11073,3.94E-06
K02372,7.27E-04
K03671,3.28E-03
K03670,6.95E-06
K03673,2.27E-05
K03672,3.03E-05
K04887,1.86E-05
K03718,1.29E-03
K03677,4.01E-04
K03676,9.33E-06
K09761,6.28E-04
K09760,3.56E-04
K09762,2.17E-04
K09765,3.91E-04
K09767,4.74E-05
K02217,8.98E-04
K09769,6.15E-05
K09768,2.21E-04
K08567,5.81E-05
K13278,1.86E-06
K00631,7.12E-06
K03299,7.56E-05
K12308,5.02E-04
K03293,8.29E-05
K03292,5.66E-04
K03291,1.39E-05
K03290,1.53E-05
K03297,5.89E-05
K03296,1.49E-03
K03295,1.21E-04
K13479,8.14E-05
K03073,5.83E-04
K03072,9.00E-05
K03071,5.80E-05
K03070,4.44E-04
K03077,1.81E-04
K03076,7.98E-04
K03075,5.86E-04
K03074,1.33E-04
K08965,2.11E-06
K03078,7.14E-06
K08961,4.31E-05
K08963,2.06E-04
K03275,1.20E-05
K03274,1.21E-04
K03276,1.22E-05
K03271,2.60E-04
K03270,5.47E-04
K03273,1.58E-04
K03272,1.00E-04
K03812,1.41E-05
K06138,2.54E-04
K05540,3.09E-04
K06131,6.31E-04
K09749,5.81E-05
K06133,8.70E-05
K09612,4.48E-06
K03187,2.54E-05
K03186,6.56E-05
K03185,2.26E-05
K02279,7.61E-05
K03183,3.88E-04
K03182,8.23E-05
K03181,2.23E-05
K03189,5.05E-05
K03188,5.31E-05
K07552,1.73E-04
K03483,4.02E-06
K12454,1.19E-05
K12452,8.56E-05
K07192,3.64E-04
K07358,2.02E-05
K06027,2.85E-05
K07353,4.96E-06
K07350,5.14E-06
K07351,7.84E-06
K09909,7.04E-06
K01101,1.33E-05
K01115,1.37E-06
K12057,6.44E-06
K12056,3.70E-06
K06221,1.63E-04
K09900,7.52E-06
K09903,6.35E-04
K06222,1.03E-05
K09904,6.42E-05
K09907,2.06E-05
K09975,7.60E-06
K06919,5.39E-06
K02825,6.31E-05
K06917,8.53E-06
K06916,1.29E-05
K06915,7.96E-05
K06911,4.90E-04
K00983,2.06E-04
K00773,6.96E-04
K00772,5.79E-05
K00777,2.13E-05
K13611,3.36E-07
K07308,2.78E-06
K08986,2.57E-06
K01299,5.63E-05
K08984,8.30E-06
K08981,5.82E-06
K02589,2.53E-05
K08989,7.67E-05
K10439,3.74E-04
K06351,8.06E-06
K06350,1.49E-05
K07512,7.75E-06
K10213,1.16E-05
K03302,8.90E-06
K10218,3.37E-06
K05851,1.08E-05
K01912,5.64E-04
K01910,2.84E-05
K01911,2.71E-04
K01916,6.76E-05
K01917,5.26E-05
K01914,4.20E-04
K01915,1.18E-03
K01918,4.29E-04
K01919,2.28E-05
K10954,2.27E-06
K10697,2.74E-05
K07775,2.48E-04
K00179,3.62E-04
K07777,4.87E-05
K05934,2.92E-04
K07048,4.68E-05
K05936,3.82E-04
K07773,6.59E-06
K00172,1.05E-04
K00171,1.12E-04
K00170,8.28E-05
K00177,4.30E-04
K00176,6.98E-04
K00175,6.73E-04
K00174,6.10E-04
K07177,6.98E-06
K07175,2.77E-04
K07172,9.44E-06
K07173,6.00E-04
K07170,4.96E-04
K07171,4.30E-02
K00375,2.00E-04
K00374,2.16E-05
K00376,4.72E-06
K00371,2.00E-05
K00370,3.48E-05
K00373,2.46E-05
K00372,7.17E-06
K01358,1.12E-03
K00194,3.72E-05
K00197,4.12E-05
K09163,1.72E-04
K09162,3.33E-05
K09161,9.41E-06
K09160,1.43E-05
K11382,3.34E-05
K02280,1.73E-05
K01354,1.27E-05
K00198,1.20E-04
K01356,3.53E-04
K11594,1.37E-06
K10109,1.51E-04
K10108,1.40E-04
K10107,6.17E-06
K05606,1.14E-05
K01828,2.82E-04
K01826,6.07E-05
K01825,1.00E-05
K01822,9.27E-05
K01823,1.09E-05
K01820,3.20E-06
K00519,1.49E-05
K04078,1.23E-03
K04079,6.32E-04
K04077,7.24E-04
K04074,2.84E-05
K04075,4.66E-04
K04072,1.42E-04
K04070,1.87E-04
K11145,3.10E-04
K05342,2.57E-06
K12299,1.09E-05
K00998,3.65E-04
K04691,1.23E-05
K00995,6.14E-04
K00997,1.28E-04
K00996,9.80E-05
K00991,8.04E-04
K00990,2.84E-05
K01521,5.57E-06
K05589,2.01E-05
K03151,1.89E-04
K02931,8.47E-04
K02933,9.81E-04
K05612,2.80E-06
K02935,1.29E-03
K03620,7.74E-05
K05616,3.99E-06
K02939,1.00E-03
K14205,1.36E-06
K02363,1.43E-06
K00207,2.12E-06
K01568,1.44E-06
K14264,1.80E-06
K00437,2.33E-06
K00208,4.31E-04
K01000,5.33E-04
K14591,3.98E-05
K01002,1.77E-05
K01003,2.66E-06
K01005,5.11E-04
K01006,6.34E-04
K01007,4.81E-05
K01008,1.83E-04
K12500,5.82E-06
K03628,3.77E-04
K13480,1.11E-04
K09961,8.02E-06
K04785,6.28E-06
K14440,1.40E-05
K10794,4.14E-05
K08195,1.06E-05
K08194,1.12E-05
K08651,6.79E-06
K08191,2.16E-04
K13640,2.29E-05
K13643,3.28E-04
K10189,1.14E-04
K01134,3.08E-04
K01135,2.13E-05
K01136,4.51E-05
K01137,1.62E-04
K01130,4.08E-04
K01132,1.26E-05
K01133,4.80E-05
K08357,7.56E-07
K02302,4.55E-05
K01564,3.50E-06
K01138,3.94E-04
K01139,6.22E-05
K08351,4.67E-06
K08350,1.17E-05
K02113,6.55E-04
K02444,6.83E-05
K02111,6.73E-04
K02110,1.36E-03
K02117,4.48E-04
K02440,1.12E-04
K02115,7.14E-04
K02114,1.12E-03
K02119,8.37E-05
K02118,6.11E-04
K03465,1.35E-04
K03466,3.84E-04
K09023,2.91E-06
K01649,5.46E-04
K10407,1.51E-06
K01643,8.75E-05
K01640,2.31E-05
K01646,6.32E-05
K01647,5.57E-04
K01644,7.83E-05
K13006,7.21E-05
K02101,4.48E-06
K13004,2.52E-05
K13002,4.24E-04
K06952,5.03E-05
K06407,2.87E-04
K02027,6.14E-04
K02026,1.89E-03
K02025,1.87E-03
K07139,4.98E-04
K02023,8.50E-05
K03519,3.76E-05
K02021,2.84E-05
K02020,2.11E-04
K02841,1.11E-05
K11540,4.06E-06
K02843,7.64E-05
K03517,4.34E-04
K00737,2.44E-06
K01749,1.49E-04
K02029,1.10E-03
K02028,6.83E-04
K02102,2.34E-06
K03885,1.35E-04
K06610,3.26E-06
K02034,8.01E-04
K05922,5.68E-06
K04518,2.77E-04
K09758,1.55E-04
K09759,6.14E-05
K06036,8.96E-06
K02203,1.50E-04
K06959,3.63E-04
K02200,5.50E-05
K07136,5.41E-06
K02774,2.44E-05
K00917,4.16E-05
K06408,9.51E-05
K01274,5.79E-06
K12998,6.30E-06
K12999,3.90E-05
K11938,5.68E-06
K12992,4.50E-05
K13498,2.08E-05
K12990,7.70E-06
K12996,3.93E-05
K02058,1.23E-04
K12994,2.15E-05
K12995,5.50E-06
K08978,4.32E-04
K03088,9.59E-03
K03089,3.20E-05
K03086,8.31E-04
K03087,6.06E-05
K08970,1.94E-06
K07038,8.08E-06
K12510,1.48E-04
K08974,1.87E-04
K12290,5.30E-06
K07311,3.78E-06
K01426,2.28E-05
K03644,3.44E-04
K03645,1.21E-05
K03646,1.31E-05
K03647,1.60E-05
K03640,7.14E-05
K03641,1.75E-05
K03642,1.08E-04
K03643,1.56E-05
K03648,7.33E-04
K03649,7.72E-05
K07183,3.17E-04
K07181,1.95E-05
K07180,8.51E-06
K13919,1.86E-05
K13918,1.26E-05
K07185,1.45E-04
K07184,4.31E-05
K09934,3.58E-06
K06215,1.23E-04
